rank,name,price,sales7,gmv7,sales_total,gmv_total,commission,listed_days,shop,category,rating,reviews,sales_growth,source,price_score,growth_score,commission_score,competition_score,lifecycle_score,shop_score,market_heat,viability,potential,markers
266,"1 Piece Men's Tactical Sports Belt, Quick Release Symmetrical Buckle, Polyester Fiber, Suitable for Outdoor Training Military",8.4,7.0,58.52,7.0,58.52,16.5,4,Leather Lanee,时尚配件,,,,products_new_us.csv,100.0,59.1,82.5,20.0,100.0,60.0,71.4,71.6,69.1,价格战红海;高佣爆款
336,Traceless Invisible Elastic Belt Women's Belt Jeans Pants Men's Elastic Belt,6.8,4.0,27.36,4.0,27.36,16.5,4,Leather Lanee,时尚配件,,,,products_new_us.csv,100.0,59.0,82.5,20.0,100.0,60.0,71.3,71.6,69.1,价格战红海;高佣爆款
345,Fashion New Square Bead Rivet Belt Metal Pyramid Belt Men and Women Punk Hardware Jeans Belt Y2K Belt Designer Belt Women's Belt,9.9,4.0,39.52,4.0,39.52,16.5,4,Leather Lanee,时尚配件,,,,products_new_us.csv,100.0,59.0,82.5,20.0,100.0,60.0,71.3,71.6,69.1,价格战红海;高佣爆款
348,"To My Wife Forever Love Keychain, Stainless Steel Keyring,Romantic Husband Gift for Wife, Stainless Steel Love Keepsake Keychain, Anniversary Birthday Gift for Her",9.6,4.0,38.4,4.0,38.4,16.5,4,VITACRUX,时尚配件,,,,products_new_us.csv,100.0,59.0,82.5,20.0,100.0,60.0,71.3,71.6,69.1,价格战红海;高佣爆款
399,Y2K Punk Star Eyelet Black Rivet Belt Goth Pu Leather Belts For Women Jeans Pants Boys And Girls Students Belt,8.4,3.0,25.08,3.0,25.08,16.5,4,Leather Lanee,时尚配件,,,,products_new_us.csv,100.0,59.0,82.5,20.0,100.0,60.0,71.3,71.6,69.1,价格战红海;高佣爆款
400,"Men's Gray 3-Piece Tie Set - Men's Accessories for Male, Classic Solid with Pocket Square, Tie Clip, Classic and Versatile Design, Classical Look, One Size for Business, Weddings",18.0,3.0,54.0,3.0,54.0,16.5,4,Bijou Secret,时尚配件,,,,products_new_us.csv,100.0,59.0,82.5,20.0,100.0,60.0,71.3,71.6,69.1,价格战红海;高佣爆款
415,"Women's Elegant Ornate Hollow Leaf Floral Dangle Charm Bracelet - Gold-Tone Snake Chain, Purple Crystal, Glitter Beads - Fashion Costume Jewelry Gift",9.7,3.0,29.1,3.0,29.12,16.5,4,WANSE,时尚配件,,,,products_new_us.csv,100.0,59.0,82.5,20.0,100.0,60.0,71.3,71.6,69.1,价格战红海;高佣爆款
440,"GOD'S FAVORITE Letter Embroidery Camo Baseball Cap, Fitted Caps, Casual Outdoor Sports Hat for Men & Women, Adjustable Sun Protection Cap for Daily Wear, Sports Outdoor Hats trendy",14.98,2.0,29.96,2.0,29.96,16.5,4,Funny Cap & Laugh,时尚配件,,,,products_new_us.csv,100.0,58.9,82.5,20.0,100.0,60.0,71.3,71.6,69.1,价格战红海;高佣爆款
453,"Navy Blue Fade-Design Cross Flat Brim Snapback Hat, Adjustable 1-Size Casual Headwear for Running Errands, Everyday",24.99,2.0,49.98,2.0,49.98,16.5,4,masterpieceneedle,时尚配件,,,,products_new_us.csv,100.0,58.9,82.5,20.0,100.0,60.0,71.3,71.6,69.1,价格战红海;高佣爆款
486,4 Pcs 14K Gold Plated 1.3mm Thin Stackable Rings for Women - Minimalist Non Tarnish Half Cubic Zirconia Band Rings - Dainty Trendy Statement Stacking Rings Set Size 5-9,15.09,2.0,30.18,2.0,30.18,16.5,4,Sanfenly Jewelry,时尚配件,,,,products_new_us.csv,100.0,58.9,82.5,20.0,100.0,60.0,71.3,71.6,69.1,价格战红海;高佣爆款
492,"Double Gem C Shape Nose Ring Piercing Kit, Round & Heart Shiny Stone Hoop Nose Stud Set with Piercing Tool, Cute Curved Septum Rings Jewelry for Women Daily Body Piercing Decor",5.99,2.0,11.98,2.0,11.98,16.5,4,UniKey Hub,时尚配件,,,,products_new_us.csv,100.0,58.9,82.5,20.0,100.0,60.0,71.3,71.6,69.1,价格战红海;高佣爆款
16,NEW SIGNATURE JEWELRY,8.0,284.0,2272.0,284.0,2272.0,,4,dealafterdeal,时尚配件,,,,products_new_us.csv,100.0,70.1,60.0,20.0,100.0,60.0,79.1,66.0,69.0,价格战红海
48,"Women’s Crochet Clutch Bag – Lightweight Woven Cloud & Dumpling Design Ruched Knitted Fashion Purse,",10.99,91.0,910.0,91.0,909.62,15.0,4,JFSIN shop,时尚配件,,,,products_new_us.csv,100.0,62.5,75.0,20.0,100.0,60.0,73.7,69.8,69.0,价格战红海
8,"Handmade Knit Doll Pendant - Sunflower Resin Maria Figurine, DIY Craft Kit, Car Decorating Accessory for Cars with Flower Motifs, Unique Gift Idea",11.99,492.0,5606.08,870.0,10300.0,12.0,4,GlowWeavepei,时尚配件,,,,products_new_us.csv,100.0,69.7,60.0,20.0,100.0,60.0,78.8,66.0,68.9,价格战红海
52,"PYKIO 4pcs Women's Soft Stretchy Headbands Winter Ear Warmers with Comfort Fit Solid Color Hair Accessories for Cold Weather Stylish Cozy Hairbands for Everyday & Formal Wear SpringStatements, Headbands For Women, 4Pcs/Set, Casual, Daily, Stretchy Fabric,",7.0,83.0,421.0,83.0,420.66,15.0,4,BB549 shop,时尚配件,,,,products_new_us.csv,100.0,62.2,75.0,20.0,100.0,60.0,73.5,69.8,68.9,价格战红海
384,Skeleton SassCan Tab Opener Keychain – 3D Printed Middle Finger Nail Saver Soda Can Opener – Drink Tab Helper Accessory – Handmade Keychain Gift,5.0,4.0,23.64,4.0,23.64,15.5,4,LRB Handmade Creations,时尚配件,,,,products_new_us.csv,100.0,59.0,77.5,20.0,100.0,60.0,71.3,70.4,68.3,价格战红海
385,"8 Pack Glass Food Storage Containers with Airtight Lids, Glass Meal Prep Containers, Lunch Office Meal for Microwave, Oven, Freezer and Dishwasher, BPA Free",19.9,4.0,79.6,4.0,79.64,15.5,4,Rappold,时尚配件,,,,products_new_us.csv,100.0,59.0,77.5,20.0,100.0,60.0,71.3,70.4,68.3,价格战红海
403,"# 0361 14k Gold Plated Diamond Accent Earrings, High-Quality Glamorous Jewelry for Formal Events, Casual Occasions",17.99,3.0,53.97,3.0,53.97,15.5,4,Andrea Joyas laminadas,时尚配件,,,,products_new_us.csv,100.0,59.0,77.5,20.0,100.0,60.0,71.3,70.4,68.3,价格战红海
422,"Retro cross red copper bracelet, with built-in strong magnet. The opening can be adjusted freely in size. It has an aged retro look and is suitable for both men and women. It's the perfect gift for giving or keeping yourself!",7.9,3.0,23.7,3.0,23.7,15.5,4,HELLO-M,时尚配件,,,,products_new_us.csv,100.0,59.0,77.5,20.0,100.0,60.0,71.3,70.4,68.3,价格战红海
126,2pcs Crystal Ball Twisted Barbell Earring for Women - Elegant Disco Ball Lobe Jewelry with Double Screw Back Design,7.99,27.0,215.73,27.0,215.73,15.0,4,Xara Studio,时尚配件,,,,products_new_us.csv,100.0,59.9,75.0,20.0,100.0,60.0,72.0,69.8,68.2,价格战红海
137,"Women's Vintage Minimalist Multi-Function Wristlet Bag - Compact Snap Closure Mini Pouch, Casual Purse with Wrist Strap, Credit Card Slots, ID Window, Coin Pocket, Zipper for Cash/ID - Daily Use for Sports, Outdoor Camping",12.99,25.0,324.75,25.0,324.75,15.0,4,Xara Studio,时尚配件,,,,products_new_us.csv,100.0,59.9,75.0,20.0,100.0,60.0,71.9,69.8,68.2,价格战红海
143,Women's Flower Pearl Earrings - Lightweight Costume Statement Jewelry for Daily Wear,10.77,23.0,247.71,23.0,332.35,15.0,4,SweetheartShop,时尚配件,,,,products_new_us.csv,100.0,59.8,75.0,20.0,100.0,60.0,71.8,69.8,68.2,价格战红海
150,"(MTO) Handmade Cherry Red French Tip 3D Flower Long Stiletto Press-On Nails, Rhinestone Decor, Reusable Wearable Art, Novelty Fashion Hand Accessories with Creativity, Like the Picture, Check Size Guide",20.69,21.0,434.49,21.0,434.49,15.0,4,Bubble NailArt,时尚配件,,,,products_new_us.csv,100.0,59.7,75.0,20.0,100.0,60.0,71.8,69.8,68.2,价格战红海
,BLUE- 14K GOLD FINISH -NO CANCELATIONS,1.0,909.0,2016.0,979.0,979.0,,4,GoldenHour,时尚配件,,,,products_new_us.csv,60.0,93.5,60.0,20.0,100.0,60.0,95.5,52.0,68.1,暴涨新星
162,"Women's Bohemian Golden Butterfly Marble Bead Bracelet - Turquoise Pink Glazed Stone Fashion Jewelry, Sports & Outdoor Protective Gear Accessory, Ideal Gift for Parties-Festivals, Exquisite Trendy Bracelet, Fashionable Bracelet",9.99,18.0,179.82,18.0,179.82,15.0,4,Xara Studio,时尚配件,,,,products_new_us.csv,100.0,59.6,75.0,20.0,100.0,60.0,71.7,69.8,68.1,价格战红海
165,"Women's Elegant Statement Belt - 1 Circular Waist Chain Links Decorative Accessory, Versatile Autumn 1-Piece Female Belt, Stylish Accessories for Women",8.99,17.0,152.83,17.0,152.83,15.0,4,Xara Studio,时尚配件,,,,products_new_us.csv,100.0,59.5,75.0,20.0,100.0,60.0,71.7,69.8,68.1,价格战红海
177,"Women's Golden Jewelry Set, 3-Piece Minimalist Geometric Necklaces Set with Bracelet & Ball Hoop Earrings, Lightweight Hypoallergenic Gold Aesthetic for Daily Wear, Unisex",7.99,15.0,119.85,15.0,119.85,15.0,4,EHOP shop,时尚配件,,,,products_new_us.csv,100.0,59.5,75.0,20.0,100.0,60.0,71.6,69.8,68.1,价格战红海
68,"Men's Minimalistic RFID Wallet - Slim Carbon Fiber Pattern Synthetic Bifold Casual Wallet with Money Clip, Multi-Card Slots Credit Card Holder for Daily Travel, Basic, Slim Profile, Men's Wallet,clothes for back to school,first day of school outfits",8.6,68.0,611.32,68.0,611.32,14.0,4,Mr. Surprise,时尚配件,,,,products_new_us.csv,100.0,61.6,70.0,20.0,100.0,60.0,73.1,68.5,68.0,价格战红海
237,"Queendo 2-Piece Interwoven Hearts-X Shaped Anti-Tarnish Cuban Chain Jewelry Set, Matching Necklace & Bracelet with Hip-Hop Look, Ideal for Daily Wear, Anniversary Gift for Women & Men, Anti-Tarnish Coat",21.0,9.0,189.0,9.0,189.0,15.0,4,Queendo Jewelry,时尚配件,,,,products_new_us.csv,100.0,59.2,75.0,20.0,100.0,60.0,71.5,69.8,68.0,价格战红海
263,"Unisex Classic 3-Piece Winter Knit Accessory Set - Windproof Hat, Touchscreen Gloves, Scarf, Neck Gaiter - 1 Size, 6 Colors - Ski, Daily Life Activities Gift for Winter Coats Wearers",11.89,7.0,83.23,7.0,83.23,15.0,4,EHOP shop,时尚配件,,,,products_new_us.csv,100.0,59.1,75.0,20.0,100.0,60.0,71.4,69.8,68.0,价格战红海
294,"Amber Beaded Choker Necklace, Chunky Disc Beads with Gold Accent, Vintage Tortoiseshell Style, Adjustable Gold Chain, Perfect for Retro Outfits, Fall Fashion & Statement Looks, Beaded Necklaces",11.99,6.0,71.94,6.0,71.94,15.0,4,JFSIN shop,时尚配件,,,,products_new_us.csv,100.0,59.1,75.0,20.0,100.0,60.0,71.4,69.8,68.0,价格战红海
296,"Key Lock Toddler Anti Lost Wrist Link Leash, 304 Steel Wire Stretch Child Safety Harness, Breathable Soft Anti Escape Wristband, 2M 360° Swivel Anti Lost Strap For Outdoor Travel Shopping Family Daily Use",9.98,6.0,59.88,6.0,59.88,15.0,4,TRH shop,时尚配件,,,,products_new_us.csv,100.0,59.1,75.0,20.0,100.0,60.0,71.4,69.8,68.0,价格战红海
305,"5Pcs Matte Banana Hair Clips, 90s Vintage Aesthetic Non-Slip Large Ponytail Holder Claw Clip, Elegant Neutral Hair Accessory For Thick Hair, Lazy Girl Styling Tool Ideal For Gifting",11.99,5.0,59.95,5.0,59.95,15.0,4,JUNE shop,时尚配件,,,,products_new_us.csv,100.0,59.1,75.0,20.0,100.0,60.0,71.3,69.8,68.0,价格战红海
309,"Two Tone Glitter Star Mini Crossbody Shoulder Bag for Women, Rhinestone Heart Buckle Pearl Bow Pendant Chain Purse Daily Dating",14.99,5.0,74.95,5.0,74.95,15.0,4,Noble Nest Shop,时尚配件,,,,products_new_us.csv,100.0,59.1,75.0,20.0,100.0,60.0,71.3,69.8,68.0,价格战红海
319,"Halloween pumpkin shaped women's crossbody bag shoulder bag, simple and personalized niche holiday bag, pumpkin head women's bag with design sense, cute cartoon bag, suitable for Halloween use or as a gift for friends.",16.99,5.0,84.95,5.0,84.95,15.0,4,JFSIN shop,时尚配件,,,,products_new_us.csv,100.0,59.1,75.0,20.0,100.0,60.0,71.3,69.8,68.0,价格战红海
337,"Kawaii Dumpling Keychain, Cute Backpack Bag Charm for Girls, Glitter Steamed Bun Food Pendant, Novelty Key Ring Accessory, Back to School Gift Idea",9.0,4.0,35.97,4.0,35.96,15.0,4,StarJoy,时尚配件,,,,products_new_us.csv,100.0,59.0,75.0,20.0,100.0,60.0,71.3,69.8,68.0,价格战红海
366,"FOZONO Women's Retro Oversized Vintage Double Bridge Aviator Sunglasses - Tangle-Free, Modern Trendy, Trendy Styling Eyewear for Oval Face Shape Females, Modern Trendy Sunglasses",14.99,4.0,59.96,4.0,59.96,15.0,4,FOZONO EYEWEAR,时尚配件,,,,products_new_us.csv,100.0,59.0,75.0,20.0,100.0,60.0,71.3,69.8,68.0,价格战红海
112,"HOT Sticker Sprouts - Pack of 3 - Collectibles for EDM Raves, Festival Hat Accessories, 3D Printed",11.0,33.0,364.98,33.0,364.98,14.5,4,Lil Headbangers,时尚配件,,,,products_new_us.csv,100.0,60.2,72.5,20.0,100.0,60.0,72.1,69.1,67.9,价格战红海
395,"Women's Gold & Silver 4-Point Star Ear Jacket Studs Earrings - Hypoallergenic CZ Accents, Celestial Motif, Secure Fit, Light Luxury Designer Jewelry, Casual Everyday Wear, Perfect Gift for Her",9.0,3.0,29.49,3.0,29.49,15.0,4,Lira & Co,时尚配件,,,,products_new_us.csv,100.0,59.0,75.0,20.0,100.0,60.0,71.3,69.8,67.9,价格战红海
401,"Goose Costume for Porch Yard Goose Statue, Cute Outfit Dress‑Up Decor, Holiday Ornament for Halloween, Christmas, Outdoor Courtyard Festival Decoration",14.98,3.0,44.94,3.0,44.94,15.0,4,ORJ5163 shop,时尚配件,,,,products_new_us.csv,100.0,59.0,75.0,20.0,100.0,60.0,71.3,69.8,67.9,价格战红海
402,"Women's Boho Layered Brown Leather Choker Necklace - Western Tassel Detail Lariat Form Y Necklace with Gold Teardrop Pendant, Adjustable Fit Statement Jewelry for Festival Outfits, Cowgirl Looks, Layered Look",9.99,3.0,29.97,3.0,29.97,15.0,4,Xara Studio,时尚配件,,,,products_new_us.csv,100.0,59.0,75.0,20.0,100.0,60.0,71.3,69.8,67.9,价格战红海
421,"Mom Daughter Necklace Set, Heart Lock Matching Pendant Necklace for Mother and Child, Sentimental Keepsake Jewelry Gift, Cute Family Bond Necklace for Women and Girls, Perfect Mother's Day Gift, Birthday Present, Anniversary and Everyday Wear",8.99,3.0,26.97,3.0,26.97,15.0,4,IFAJ815 shop,时尚配件,,,,products_new_us.csv,100.0,59.0,75.0,20.0,100.0,60.0,71.3,69.8,67.9,价格战红海
423,"Cute Leopard Print Teddy Fleece Hair Bonnet With Bear‑Ear Bow Ruffle Edge, Satin‑Lined Adjustable Large Size Heatless Sleep Hair Wrap, Hair Protect Cap For Curly Natural Hair, Night Skincare Makeup Women’s Gift",10.99,3.0,32.97,3.0,32.97,15.0,4,JUNE shop,时尚配件,,,,products_new_us.csv,100.0,59.0,75.0,20.0,100.0,60.0,71.3,69.8,67.9,价格战红海
424,"Women's 2-Piece Fashion Headband Set with Clips - Retro Plain Polyester Twist Braid Tool, Non-Slip Toothed Skeleton Hair Accessories for Everyday Styling (Black & Brown), Fashion Headbands",8.99,3.0,26.97,3.0,26.97,15.0,4,JFSIN shop,时尚配件,,,,products_new_us.csv,100.0,59.0,75.0,20.0,100.0,60.0,71.3,69.8,67.9,价格战红海
426,"Rimless Diamond Cut Black Metal Non-Prescription Eyeglasses - Women’s & Men’s Luxury Engraved Temple Fashion Retro Optical Frames, Black Metal Non-Prescription Glasses, Classic Round Frame Non-Prescription Glasses",7.8,3.0,23.4,3.0,23.4,15.0,4,Glaress,时尚配件,,,,products_new_us.csv,100.0,59.0,75.0,20.0,100.0,60.0,71.3,69.8,67.9,价格战红海
430,"Colorful Cubic Zirconia Cross Necklace for Women, Gold Plated Copper Rainbow Crystal Pendant Necklace, Adjustable 17.7 + 2 in Chain, Dainty Faith Jewelry Gift for Her",12.9,3.0,38.7,3.0,38.73,15.0,4,Fellosazion,时尚配件,,,,products_new_us.csv,100.0,59.0,75.0,20.0,100.0,60.0,71.3,69.8,67.9,价格战红海
457,"Unisex Balaclava Shape Neck Guard & Neck Warmer Set - 2025 TikTokShop Black Friday Windproof Thermal Full Face Mask with Detachable Hood, Soft Fleece, Cold Resistant for Skiing, Snowboarding, Kids Outdoor Play",11.29,2.0,22.58,2.0,22.58,15.0,4,DDBD shop,时尚配件,,,,products_new_us.csv,100.0,58.9,75.0,20.0,100.0,60.0,71.3,69.8,67.9,价格战红海
135,"Retro Y2K Red Heart Gold Bead Necklace, Oversized Stainless Steel Chain Necklace, Eye-Catching Pendant Accessory for Fashion-Forward Trendsetters-Perfect for Date Nights, Birthday Parties, and Concerts",10.99,25.0,274.75,25.0,274.75,14.5,4,Mobox,时尚配件,,,,products_new_us.csv,100.0,59.9,72.5,20.0,100.0,60.0,71.9,69.1,67.8,价格战红海
86,"Unisex Classic Retro Oval Metal-Frame Sunglasses for Adults, UV Protection Eyewear, Sunglasses for Women, Travel Accessory for Street Shooting & Sunny Daily Use",10.99,46.0,505.54,46.0,505.54,14.0,4,Mr. Surprise,时尚配件,,,,products_new_us.csv,100.0,60.7,70.0,20.0,100.0,60.0,72.5,68.5,67.7,价格战红海
160,"2026 new model men's watch, high aesthetic appeal, popular cross-border quartz watch, student unisex model, candy-colored two-in-one set",19.9,18.0,358.2,18.0,358.2,14.5,4,BEETCAECC SHOP 2,时尚配件,,,,products_new_us.csv,100.0,59.6,72.5,20.0,100.0,60.0,71.7,69.1,67.7,价格战红海
173,"Elegant 925 Silver Plated Pendant Chain Bracelet, Women's Fashion Jewelry Wristband for Adults, Hypoallergenic for Wedding Party Events, Bracelets For Women, Copper Base, Special Events, Female, Sparkling Chain, Metal, Luxury Accessory, Beautiful Bracelet",8.99,16.0,143.84,16.0,143.84,14.5,4,FHSY SHOP,时尚配件,,,,products_new_us.csv,100.0,59.5,72.5,20.0,100.0,60.0,71.6,69.1,67.7,价格战红海
183,"GRUMPY SPROUTS 3D Printed Collectable Bouncy Hair Clips, EDM Festivals & Festival Outfits Hat Accessory, Assorted Pack of 3, Base Music Fans",13.9,14.0,193.9,14.0,193.9,14.5,4,Lil Headbangers,时尚配件,,,,products_new_us.csv,100.0,59.4,72.5,20.0,100.0,60.0,71.6,69.1,67.7,价格战红海
239,"JIMOTHY SPROUT Unisex Raccoon Animal Shape Clip-On Hair Clip - Pack of 3, Festival, EDM Rave Party Hat Fashion Accessory",12.3,9.0,110.79,9.0,110.79,14.5,4,Lil Headbangers,时尚配件,,,,products_new_us.csv,100.0,59.2,72.5,20.0,100.0,60.0,71.5,69.1,67.6,价格战红海
248,SCUBA - Scuba Fox - Pack of 3 Festival Sprout Clip / EDM Rave Hat Accessor,13.9,8.0,110.8,8.0,110.8,14.5,4,Lil Headbangers,时尚配件,,,,products_new_us.csv,100.0,59.2,72.5,20.0,100.0,60.0,71.4,69.1,67.6,价格战红海
252,"WOOK STAR Subtronics Patrick 3-Pack 3D Printed Lightweight Sprout Shape Festival Hair Clips, 3 Sprouts EDM Rave Hat Accessory & Hat Pins for Lil Headbangers Collectable, Unisex",12.3,8.0,98.48,8.0,98.48,14.5,4,Lil Headbangers,时尚配件,,,,products_new_us.csv,100.0,59.2,72.5,20.0,100.0,60.0,71.4,69.1,67.6,价格战红海
304,"“HA HA HE HU"" Bounce Sprout Hair Clip - EDM Festivals Accessory",11.0,6.0,66.36,6.0,66.36,14.5,4,Lil Headbangers,时尚配件,,,,products_new_us.csv,100.0,59.1,72.5,20.0,100.0,60.0,71.4,69.1,67.6,价格战红海
383,"2026 Classic Flat Lens Bluelight Fashion Glasses, Unisex Full-Rim Plastic Square Frames, Anti-Eyestrain Eyewear, Ultra-Light Durable Men's Accessories, Suitable for Work & Daily Use, Clear-Tint Non-Prescription Glasses, Square Non-Prescription Glasses",9.9,4.0,39.6,4.0,39.6,14.5,4,THANHVLXDD10,时尚配件,,,,products_new_us.csv,100.0,59.0,72.5,20.0,100.0,60.0,71.3,69.1,67.6,价格战红海
408,"RGB ZEDS DEAD Clip-On Hat Sprout Shape Hair Clips - 6-Pack, Dubstep Theme Festival Wear, EDM Party Accessory",13.1,3.0,39.24,3.0,39.24,14.5,4,Lil Headbangers,时尚配件,,,,products_new_us.csv,100.0,59.0,72.5,20.0,100.0,60.0,71.3,69.1,67.6,价格战红海
443,"Zeds Dead Dubstep Sprouted Hair Clip Accessory - 3D Printed Collectable Hair Decor, Unisex Base Music Fans Party Item, 2 Pcs Designed for EDM Festivals, Rave Hat Accessory for Lil Headbangers, Sprout Clip",11.0,2.0,22.12,2.0,22.12,14.5,4,Lil Headbangers,时尚配件,,,,products_new_us.csv,100.0,58.9,72.5,20.0,100.0,60.0,71.3,69.1,67.6,价格战红海
24,Bracelets FINAL SALE,10.0,158.0,1580.0,158.0,1580.0,,4,Gold Blush,时尚配件,,,,products_new_us.csv,100.0,65.1,60.0,20.0,100.0,60.0,75.6,66.0,67.5,价格战红海
27,"#2 Bracelets, Etc, 8/17",10.0,145.0,1450.0,145.0,1450.0,,4,Letis Love,时尚配件,,,,products_new_us.csv,100.0,64.6,60.0,20.0,100.0,60.0,75.2,66.0,67.4,价格战红海
146,"Men's Minimalist Bifold Card Wallet, Large‑Capacity Credit Card Holder with Magnetic Money Clip, Portable Cash Storage Accessory for Daily Work Travel and Gift Selection",13.99,22.0,307.78,22.0,354.9,14.0,4,Mr. Surprise,时尚配件,,,,products_new_us.csv,100.0,59.7,70.0,20.0,100.0,60.0,71.8,68.5,67.4,价格战红海
189,"Women Clear Frame Anti Blue Light Blocking Glasses, Simple Daily Eyeglasses Designed For Long Time Screen And Indoor Office Use",7.99,13.0,103.87,13.0,103.87,14.0,4,Mr. Surprise,时尚配件,,,,products_new_us.csv,100.0,59.4,70.0,20.0,100.0,60.0,71.6,68.5,67.3,价格战红海
30,Gold Plated Jewelry/ Lindsay1,13.0,137.0,1895.0,139.0,1946.0,,4,Ever Luxe Jewels,时尚配件,,,,products_new_us.csv,100.0,64.0,60.0,20.0,100.0,60.0,74.8,66.0,67.2,价格战红海
449,"9pcs 20G Stainless Steel Nose Piercings Set, With Planet, Butterfly, Heart, Star Nose Hoop Piercings, Hypoallergenic Nose Rings Set, Nose Clickers Set",13.0,2.0,29.36,2.0,29.36,14.0,4,Jungle Piercing Store,时尚配件,,,,products_new_us.csv,100.0,58.9,70.0,20.0,100.0,60.0,71.3,68.5,67.2,价格战红海
26,Non tarnish ✨️No Cancel ✨️ No refund,6.0,148.0,1227.0,159.0,1431.0,,4,"Ojitos Negros, INC",时尚配件,,,,products_new_us.csv,100.0,63.4,60.0,20.0,100.0,60.0,74.3,66.0,67.0,价格战红海
46,"Gold-Plated , Final Sale",7.0,102.0,714.0,102.0,714.0,,4,FASHIONBICET,时尚配件,,,,products_new_us.csv,100.0,62.9,60.0,20.0,100.0,60.0,74.0,66.0,66.9,价格战红海
47,14k-Plated High-end Necklace,6.0,96.0,576.0,96.0,576.0,,4,Mirenx,时尚配件,,,,products_new_us.csv,100.0,62.7,60.0,20.0,100.0,60.0,73.9,66.0,66.8,价格战红海
120,"Matte Banana Hair Claw Clips Set of 4, TikTok aesthetic hair clips, Non-slip strong hold banana clips for thick hair, Secure high ponytail & updos, Durable lightweight matte neutral tones for daily wear, office & travel",8.99,29.0,260.71,29.0,260.71,13.0,4,QYZPB shop,时尚配件,,,,products_new_us.csv,100.0,60.0,65.0,20.0,100.0,60.0,72.0,67.2,66.8,价格战红海
50,"#2 A.E 7/17/26 bracelets,necklaces,etc",14.0,88.0,1232.0,88.0,1232.0,,4,LEXX VIBES,时尚配件,,,,products_new_us.csv,100.0,62.4,60.0,20.0,100.0,60.0,73.6,66.0,66.7,价格战红海
